pNo,condition,study,sessionOrder,congruency,rtOverall,accOverall,rt,acc,rtCorrect,session
126,deplete,1,deplete-control,congruent,0.597780346820809,0.976878612716763,0.561245762711864,0.991525423728813,0.560102564102564,1
126,deplete,1,deplete-control,incongruent,0.597780346820809,0.976878612716763,0.676163636363636,0.945454545454546,0.685230769230769,1
13,control,1,control-deplete,congruent,0.711488372093023,0.982558139534884,0.671367521367521,0.982905982905983,0.677330434782609,1
13,control,1,control-deplete,incongruent,0.711488372093023,0.982558139534884,0.796836363636364,0.981818181818182,0.791648148148148,1
13,deplete,1,control-deplete,congruent,0.600919254658385,0.956521739130435,0.597860869565217,0.965217391304348,0.596396396396396,2
13,deplete,1,control-deplete,incongruent,0.600919254658385,0.956521739130435,0.608565217391304,0.934782608695652,0.600325581395349,2
132,control,1,deplete-control,congruent,0.779982352941176,0.947058823529412,0.733526315789474,0.991228070175439,0.732097345132743,2
132,control,1,deplete-control,incongruent,0.779982352941176,0.947058823529412,0.874553571428572,0.857142857142857,0.881875,2
132,deplete,1,deplete-control,congruent,0.817339285714286,0.946428571428571,0.790382608695652,0.991304347826087,0.792921052631579,1
132,deplete,1,deplete-control,incongruent,0.817339285714286,0.946428571428571,0.875830188679245,0.849056603773585,0.902266666666667,1
133,control,1,control-deplete,congruent,0.592714285714286,0.988095238095238,0.570920353982301,0.991150442477876,0.571366071428571,1
133,control,1,control-deplete,incongruent,0.592714285714286,0.988095238095238,0.637490909090909,0.981818181818182,0.638240740740741,1
133,deplete,1,control-deplete,congruent,0.606787096774194,0.941935483870968,0.5895,0.972727272727273,0.589317757009346,2
133,deplete,1,control-deplete,incongruent,0.606787096774194,0.941935483870968,0.649044444444444,0.866666666666667,0.660435897435898,2
136,control,1,deplete-control,congruent,0.509390804597701,0.954022988505747,0.498119658119658,0.965811965811966,0.500238938053097,2
136,control,1,deplete-control,incongruent,0.509390804597701,0.954022988505747,0.532526315789474,0.929824561403509,0.530830188679245,2
136,deplete,1,deplete-control,congruent,0.530994219653179,0.965317919075144,0.526516949152542,0.949152542372881,0.531473214285714,1
136,deplete,1,deplete-control,incongruent,0.530994219653179,0.965317919075144,0.5406,1,0.5406,1
137,control,1,control-deplete,congruent,0.598905882352941,0.911764705882353,0.582128205128205,0.965811965811966,0.584592920353982,1
137,control,1,control-deplete,incongruent,0.598905882352941,0.911764705882353,0.635943396226415,0.792452830188679,0.623833333333333,1
137,deplete,1,control-deplete,congruent,0.539777070063694,0.89171974522293,0.529527777777778,0.888888888888889,0.531989583333333,2
137,deplete,1,control-deplete,incongruent,0.539777070063694,0.89171974522293,0.562367346938776,0.897959183673469,0.559477272727273,2
138,control,1,deplete-control,congruent,0.740770588235294,0.952941176470588,0.672093220338983,0.974576271186441,0.671765217391304,2
138,control,1,deplete-control,incongruent,0.740770588235294,0.952941176470588,0.896615384615385,0.903846153846154,0.895574468085106,2
138,deplete,1,deplete-control,congruent,0.815988165680473,0.952662721893491,0.744612068965517,0.991379310344828,0.746539130434783,1
138,deplete,1,deplete-control,incongruent,0.815988165680473,0.952662721893491,0.972207547169811,0.867924528301887,0.999869565217391,1
139,control,1,control-deplete,congruent,0.711520467836257,0.982456140350877,0.69517094017094,1,0.69517094017094,1
139,control,1,control-deplete,incongruent,0.711520467836257,0.982456140350877,0.746944444444444,0.944444444444444,0.74221568627451,1
139,deplete,1,control-deplete,congruent,0.703668604651163,0.965116279069768,0.681189655172414,0.991379310344828,0.677278260869565,2
139,deplete,1,control-deplete,incongruent,0.703668604651163,0.965116279069768,0.750232142857143,0.910714285714286,0.750196078431373,2
14,control,1,deplete-control,congruent,0.694462025316456,0.974683544303798,0.681290909090909,0.981818181818182,0.678962962962963,2
14,control,1,deplete-control,incongruent,0.694462025316456,0.974683544303798,0.724645833333333,0.958333333333333,0.716152173913043,2
14,deplete,1,deplete-control,congruent,0.727724550898204,0.946107784431138,0.687387931034483,0.982758620689655,0.68390350877193,1
14,deplete,1,deplete-control,incongruent,0.727724550898204,0.946107784431138,0.819470588235294,0.862745098039216,0.815590909090909,1
141,control,1,control-deplete,congruent,0.860784090909091,0.9375,0.780941176470588,0.991596638655462,0.780898305084746,1
141,control,1,control-deplete,incongruent,0.860784090909091,0.9375,1.02747368421053,0.824561403508772,1.08810638297872,1
141,deplete,1,control-deplete,congruent,0.751485549132948,0.930635838150289,0.684596638655462,0.983193277310924,0.683726495726496,2
141,deplete,1,control-deplete,incongruent,0.751485549132948,0.930635838150289,0.898888888888889,0.814814814814815,0.897295454545455,2
142,control,1,deplete-control,congruent,0.705522988505747,0.994252873563218,0.66621186440678,0.991525423728813,0.666623931623932,2
142,control,1,deplete-control,incongruent,0.705522988505747,0.994252873563218,0.788357142857143,1,0.788357142857143,2
142,deplete,1,deplete-control,congruent,0.700902298850575,1,0.674666666666667,1,0.674666666666667,1
142,deplete,1,deplete-control,incongruent,0.700902298850575,1,0.759203703703704,1,0.759203703703704,1
143,control,1,control-deplete,congruent,0.646512048192771,0.969879518072289,0.640495726495727,0.982905982905983,0.642113043478261,1
143,control,1,control-deplete,incongruent,0.646512048192771,0.969879518072289,0.660877551020408,0.938775510204082,0.653586956521739,1
