study,session,pNo,condition,congruency,sessionOrder,a,v,t0_Ter
1,1,265,control,incongruent,control-deplete,0.0907,0.2188,0.7179
1,2,265,deplete,congruent,control-deplete,0.1073,0.3389,0.4801
1,2,265,deplete,incongruent,control-deplete,0.0773,0.149,0.6515
1,2,266,control,congruent,deplete-control,0.0905,0.3182,0.3877
1,2,266,control,incongruent,deplete-control,0.0811,0.213,0.4759
1,1,266,deplete,congruent,deplete-control,0.1039,0.2993,0.3828
1,1,266,deplete,incongruent,deplete-control,0.1151,0.2494,0.4175
1,1,267,control,congruent,control-deplete,0.1112,0.2982,0.4566
1,1,267,control,incongruent,control-deplete,0.1024,0.225,0.5181
1,2,267,deplete,congruent,control-deplete,0.1027,0.284,0.4342
1,2,267,deplete,incongruent,control-deplete,0.1063,0.2684,0.4801
1,2,270,control,congruent,deplete-control,0.1306,0.3095,0.3758
1,2,270,control,incongruent,deplete-control,0.1181,0.2463,0.3875
1,1,270,deplete,congruent,deplete-control,0.1033,0.2771,0.4062
1,1,270,deplete,incongruent,deplete-control,0.122,0.327,0.4162
1,1,271,control,congruent,control-deplete,0.1093,0.37,0.4437
1,1,271,control,incongruent,control-deplete,0.1215,0.3237,0.489
1,2,271,deplete,congruent,control-deplete,0.1084,0.3364,0.4302
1,2,271,deplete,incongruent,control-deplete,0.1018,0.2764,0.4827
1,1,273,control,congruent,control-deplete,0.1305,0.3655,0.3528
1,1,273,control,incongruent,control-deplete,0.0877,0.1859,0.556
1,2,273,deplete,congruent,control-deplete,0.1546,0.3525,0.3711
1,2,273,deplete,incongruent,control-deplete,0.1021,0.2775,0.5971
1,1,275,control,congruent,control-deplete,0.1322,0.3065,0.3953
1,1,275,control,incongruent,control-deplete,0.1003,0.1677,0.5136
1,2,275,deplete,congruent,control-deplete,0.1306,0.366,0.4158
1,2,275,deplete,incongruent,control-deplete,0.0929,0.1632,0.5454
1,1,277,control,congruent,control-deplete,0.1596,0.3426,0.3578
1,1,277,control,incongruent,control-deplete,0.1398,0.2812,0.5692
1,2,277,deplete,congruent,control-deplete,0.144,0.3799,0.3969
1,2,277,deplete,incongruent,control-deplete,0.0991,0.1779,0.6057
1,2,278,control,congruent,deplete-control,0.1492,0.2726,0.4138
1,2,278,control,incongruent,deplete-control,0.0982,0.0541,0.6201
1,1,278,deplete,congruent,deplete-control,0.1161,0.2257,0.4593
1,1,278,deplete,incongruent,deplete-control,0.0974,0.04,0.5659
1,1,283,control,congruent,control-deplete,0.1653,0.3309,0.3573
1,1,283,control,incongruent,control-deplete,0.123,0.2219,0.4529
1,2,283,deplete,congruent,control-deplete,0.1344,0.4067,0.3632
1,2,283,deplete,incongruent,control-deplete,0.1444,0.3183,0.367
1,2,284,control,congruent,deplete-control,0.1265,0.4315,0.4388
1,2,284,control,incongruent,deplete-control,0.0915,0.2202,0.5592
1,1,284,deplete,congruent,deplete-control,0.1458,0.3267,0.4202
1,1,284,deplete,incongruent,deplete-control,0.101,0.1753,0.5441
1,1,285,control,congruent,control-deplete,0.1183,0.3013,0.4036
1,1,285,control,incongruent,control-deplete,0.12,0.2094,0.4246
1,2,285,deplete,congruent,control-deplete,0.1707,0.3194,0.3721
1,2,285,deplete,incongruent,control-deplete,0.116,0.1659,0.5529
1,2,286,control,congruent,deplete-control,0.1367,0.2418,0.3799
1,2,286,control,incongruent,deplete-control,0.1381,0.236,0.4374
1,1,286,deplete,congruent,deplete-control,0.1144,0.2777,0.4344
1,1,286,deplete,incongruent,deplete-control,0.1115,0.1971,0.4807
1,1,287,control,congruent,control-deplete,0.1564,0.3028,0.5713
1,1,287,control,incongruent,control-deplete,0.1063,0.1916,0.7165
1,2,287,deplete,congruent,control-deplete,0.1599,0.2989,0.4105
1,2,287,deplete,incongruent,control-deplete,0.1443,0.2321,0.5486
1,1,289,control,congruent,control-deplete,0.135,0.2975,0.4152
1,1,289,control,incongruent,control-deplete,,,
1,2,289,deplete,congruent,control-deplete,0.1565,0.3484,0.4525
1,2,289,deplete,incongruent,control-deplete,0.1045,0.1886,0.6436
1,2,290,control,congruent,deplete-control,0.1093,0.3042,0.3938
1,2,290,control,incongruent,deplete-control,0.111,0.2628,0.4651
1,1,290,deplete,congruent,deplete-control,0.1044,0.2637,0.3882
1,1,290,deplete,incongruent,deplete-control,0.0939,0.2098,0.4545
1,1,291,control,congruent,control-deplete,0.1603,0.2522,0.4368
1,1,291,control,incongruent,control-deplete,0.1595,0.2043,0.4394
1,2,291,deplete,congruent,control-deplete,0.1251,0.2894,0.442
1,2,291,deplete,incongruent,control-deplete,0.1277,0.2551,0.4363
1,2,292,control,congruent,deplete-control,0.1119,0.3635,0.3836
1,2,292,control,incongruent,deplete-control,0.0949,0.2722,0.4126
1,1,292,deplete,congruent,deplete-control,0.1158,0.3484,0.3637
1,1,292,deplete,incongruent,deplete-control,0.1275,0.313,0.3709
1,1,293,control,congruent,control-deplete,0.0982,0.3419,0.416
1,1,293,control,incongruent,control-deplete,0.0981,0.264,0.4544
1,2,293,deplete,congruent,control-deplete,0.1374,0.3986,0.371
1,2,293,deplete,incongruent,control-deplete,0.0953,0.202,0.4267
1,1,295,control,congruent,control-deplete,0.1684,0.2818,0.3489
1,1,295,control,incongruent,control-deplete,0.1315,0.1936,0.4535
1,2,295,deplete,congruent,control-deplete,0.113,0.2566,0.3866
1,2,295,deplete,incongruent,control-deplete,0.118,0.2106,0.4676
1,2,296,control,congruent,deplete-control,0.1384,0.395,0.366
1,2,296,control,incongruent,deplete-control,0.1337,0.2925,0.3922
1,1,296,deplete,congruent,deplete-control,0.1486,0.3681,0.3169
1,1,296,deplete,incongruent,deplete-control,0.1063,0.2166,0.4219
1,2,298,control,congruent,deplete-control,0.1983,0.2753,0.3617
1,2,298,control,incongruent,deplete-control,0.1101,0.1137,0.7473
1,1,298,deplete,congruent,deplete-control,0.1634,0.2924,0.4134
1,1,298,deplete,incongruent,deplete-control,0.1117,0.2313,0.8111
1,1,299,control,congruent,control-deplete,0.159,0.2548,0.3493
1,1,299,control,incongruent,control-deplete,0.1359,0.1874,0.4913
1,2,299,deplete,congruent,control-deplete,0.1359,0.2963,0.4061
1,2,299,deplete,incongruent,control-deplete,0.1197,0.1871,0.5169
1,1,301,control,congruent,control-deplete,0.107,0.2855,0.3039
1,1,301,control,incongruent,control-deplete,0.1079,0.2549,0.3176
1,2,301,deplete,congruent,control-deplete,0.1001,0.3098,0.3543
1,2,301,deplete,incongruent,control-deplete,0.1088,0.3013,0.3452
1,2,302,control,congruent,deplete-control,0.1019,0.3032,0.4452
1,2,302,control,incongruent,deplete-control,0.1,0.2197,0.471
1,1,302,deplete,congruent,deplete-control,0.1179,0.278,0.4319
1,1,302,deplete,incongruent,deplete-control,0.0971,0.1687,0.5064
1,1,303,control,congruent,control-deplete,0.1686,0.3233,0.3448
1,1,303,control,incongruent,control-deplete,0.1333,0.2155,0.598
1,2,303,deplete,congruent,control-deplete,0.1137,0.3578,0.3955
1,2,303,deplete,incongruent,control-deplete,0.1099,0.2646,0.4869
1,2,304,control,congruent,deplete-control,0.1535,0.3108,0.4654
1,2,304,control,incongruent,deplete-control,0.1375,0.2888,0.615
1,1,304,deplete,congruent,deplete-control,0.136,0.2993,0.4171
1,1,304,deplete,incongruent,deplete-control,0.1189,0.2125,0.5543
1,2,306,control,congruent,deplete-control,0.0957,0.3792,0.3731
1,2,306,control,incongruent,deplete-control,0.0879,0.2316,0.4333
1,1,306,deplete,congruent,deplete-control,0.113,0.3602,0.332
1,1,306,deplete,incongruent,deplete-control,0.0872,0.1381,0.3982
1,1,307,control,congruent,control-deplete,0.1072,0.3786,0.3391
1,1,307,control,incongruent,control-deplete,0.1012,0.2818,0.3372
1,2,307,deplete,congruent,control-deplete,0.1073,0.3767,0.3305
1,2,307,deplete,incongruent,control-deplete,0.1029,0.2826,0.351
1,2,308,control,congruent,deplete-control,0.112,0.2976,0.4115
1,2,308,control,incongruent,deplete-control,0.124,0.3202,0.3994
1,1,308,deplete,congruent,deplete-control,0.1053,0.3404,0.4078
1,1,308,deplete,incongruent,deplete-control,0.1092,0.3602,0.4092
1,1,309,control,congruent,control-deplete,0.1089,0.3746,0.4356
1,1,309,control,incongruent,control-deplete,0.1056,0.2773,0.4625
1,2,309,deplete,congruent,control-deplete,0.1259,0.3756,0.3915
1,2,309,deplete,incongruent,control-deplete,0.1211,0.2721,0.372
1,2,310,control,congruent,deplete-control,0.1116,0.297,0.4614
1,2,310,control,incongruent,deplete-control,0.0925,0.1251,0.4945
1,1,310,deplete,congruent,deplete-control,0.1113,0.2588,0.4754
1,1,310,deplete,incongruent,deplete-control,0.0944,0.0954,0.5158
1,2,312,control,congruent,deplete-control,0.1629,0.2928,0.4595
1,2,312,control,incongruent,deplete-control,0.1056,0.1908,0.7937
1,1,312,deplete,congruent,deplete-control,0.1573,0.2575,0.4999
1,1,312,deplete,incongruent,deplete-control,0.1098,0.0933,0.8031
1,1,313,control,congruent,control-deplete,0.1548,0.3082,0.3961
1,1,313,control,incongruent,control-deplete,0.1205,0.186,0.5645
1,2,313,deplete,congruent,control-deplete,0.1504,0.363,0.3752
1,2,313,deplete,incongruent,control-deplete,0.1248,0.2563,0.4317
1,2,314,control,congruent,deplete-control,0.126,0.3792,0.3931
1,2,314,control,incongruent,deplete-control,0.0918,0.2393,0.5475
1,1,314,deplete,congruent,deplete-control,0.1311,0.311,0.4264
1,1,314,deplete,incongruent,deplete-control,0.1142,0.2498,0.6009
1,1,315,control,congruent,control-deplete,0.1696,0.2341,0.4113
1,1,315,control,incongruent,control-deplete,0.1643,0.2357,0.489
1,2,315,deplete,congruent,control-deplete,0.1295,0.2501,0.4364
1,2,315,deplete,incongruent,control-deplete,0.1757,0.2555,0.4338
1,2,316,control,congruent,deplete-control,0.1244,0.3834,0.4029
1,2,316,control,incongruent,deplete-control,0.1223,0.3291,0.4437
1,1,316,deplete,congruent,deplete-control,0.1572,0.3468,0.4439
1,1,316,deplete,incongruent,deplete-control,0.1152,0.3539,0.598
1,1,317,control,congruent,control-deplete,0.1499,0.3654,0.4329
1,1,317,control,incongruent,control-deplete,0.0925,0.1716,0.6549
1,2,317,deplete,congruent,control-deplete,0.1352,0.4038,0.4775
1,2,317,deplete,incongruent,control-deplete,0.1035,0.3203,0.6647
1,2,318,control,congruent,deplete-control,0.1504,0.3607,0.4321
1,2,318,control,incongruent,deplete-control,0.0987,0.1794,0.5499
1,1,318,deplete,congruent,deplete-control,0.1281,0.2428,0.4802
1,1,318,deplete,incongruent,deplete-control,0.1166,0.1436,0.5793
1,1,319,control,congruent,control-deplete,0.1315,0.3081,0.3798
1,1,319,control,incongruent,control-deplete,0.1104,0.1825,0.3811
1,2,319,deplete,congruent,control-deplete,0.1033,0.32,0.3985
1,2,319,deplete,incongruent,control-deplete,0.1009,0.2354,0.3788
1,1,323,control,congruent,control-deplete,0.1242,0.434,0.3823
1,1,323,control,incongruent,control-deplete,0.1267,0.3542,0.4221
1,2,323,deplete,congruent,control-deplete,0.1267,0.4276,0.3907
1,2,323,deplete,incongruent,control-deplete,0.1201,0.3859,0.4093
1,2,324,control,congruent,deplete-control,0.1018,0.2991,0.3907
1,2,324,control,incongruent,deplete-control,0.0933,0.277,0.3922
1,1,324,deplete,congruent,deplete-control,0.1317,0.3548,0.3882
1,1,324,deplete,incongruent,deplete-control,0.109,0.3643,0.4352
1,1,325,control,congruent,control-deplete,0.1403,0.2894,0.3648
1,1,325,control,incongruent,control-deplete,0.122,0.2148,0.457
1,2,325,deplete,congruent,control-deplete,0.1222,0.3889,0.3624
1,2,325,deplete,incongruent,control-deplete,0.1002,0.2194,0.4182
1,2,326,control,congruent,deplete-control,0.0996,0.3663,0.3976
1,2,326,control,incongruent,deplete-control,0.0947,0.26,0.4622
1,1,326,deplete,congruent,deplete-control,0.1056,0.382,0.3712
1,1,326,deplete,incongruent,deplete-control,0.1061,0.2652,0.4149
1,1,327,control,congruent,control-deplete,0.1353,0.2941,0.3909
1,1,327,control,incongruent,control-deplete,0.101,0.21,0.4731
1,2,327,deplete,congruent,control-deplete,0.1547,0.309,0.3443
1,2,327,deplete,incongruent,control-deplete,0.115,0.2037,0.4336
1,1,329,control,congruent,control-deplete,0.1072,0.2917,0.317
1,1,329,control,incongruent,control-deplete,0.1,0.1946,0.3256
1,2,329,deplete,congruent,control-deplete,0.0864,0.3219,0.3304
1,2,329,deplete,incongruent,control-deplete,0.1012,0.2839,0.31
1,2,330,control,congruent,deplete-control,0.1233,0.3868,0.4476
1,2,330,control,incongruent,deplete-control,0.1026,0.2114,0.6061
1,1,330,deplete,congruent,deplete-control,0.1522,0.3592,0.4014
1,1,330,deplete,incongruent,deplete-control,0.0806,0.1216,0.6493
1,1,331,control,congruent,control-deplete,0.1391,0.2229,0.5018
1,1,331,control,incongruent,control-deplete,0.1277,0.1628,0.6615
1,2,331,deplete,congruent,control-deplete,0.1431,0.2795,0.407
1,2,331,deplete,incongruent,control-deplete,0.1161,0.2017,0.5428
1,2,332,control,congruent,deplete-control,0.0967,0.3735,0.4103
1,2,332,control,incongruent,deplete-control,0.0996,0.315,0.4064
1,1,332,deplete,congruent,deplete-control,0.1368,0.345,0.387
1,1,332,deplete,incongruent,deplete-control,0.1364,0.3307,0.4005
1,2,334,control,congruent,deplete-control,0.1282,0.2795,0.3184
1,2,334,control,incongruent,deplete-control,0.1359,0.2291,0.3903
1,1,334,deplete,congruent,deplete-control,0.1299,0.2801,0.329
1,1,334,deplete,incongruent,deplete-control,0.1226,0.2278,0.3608
1,1,335,control,congruent,control-deplete,0.1189,0.3045,0.4005
1,1,335,control,incongruent,control-deplete,0.1338,0.2326,0.4681
1,2,335,deplete,congruent,control-deplete,0.1264,0.3199,0.3877
1,2,335,deplete,incongruent,control-deplete,0.1001,0.2372,0.5553
1,2,336,control,congruent,deplete-control,0.1521,0.3594,0.4485
1,2,336,control,incongruent,deplete-control,0.11,0.2944,0.5791
1,1,336,deplete,congruent,deplete-control,0.1821,0.2965,0.4206
1,1,336,deplete,incongruent,deplete-control,0.1072,0.1671,0.5845
1,1,337,control,congruent,control-deplete,0.1605,0.3408,0.3698
1,1,337,control,incongruent,control-deplete,0.1281,0.2257,0.5239
1,2,337,deplete,congruent,control-deplete,0.1297,0.4223,0.4416
1,2,337,deplete,incongruent,control-deplete,0.1169,0.2804,0.5313
1,2,338,control,congruent,deplete-control,0.0998,0.3321,0.3808
1,2,338,control,incongruent,deplete-control,0.1005,0.2452,0.3831
1,1,338,deplete,congruent,deplete-control,0.1244,0.4404,0.3872
1,1,338,deplete,incongruent,deplete-control,0.1022,0.2369,0.4282
1,1,339,control,congruent,control-deplete,0.0812,0.3414,0.412
1,1,339,control,incongruent,control-deplete,0.0893,0.3259,0.4842
1,2,339,deplete,congruent,control-deplete,0.0862,0.3855,0.4423
1,2,339,deplete,incongruent,control-deplete,0.0821,0.3026,0.4848
1,2,340,control,congruent,deplete-control,0.1253,0.3737,0.3287
1,2,340,control,incongruent,deplete-control,0.0936,0.2432,0.4213
1,1,340,deplete,congruent,deplete-control,0.1031,0.3439,0.3784
1,1,340,deplete,incongruent,deplete-control,0.0916,0.2399,0.4409
1,2,342,control,congruent,deplete-control,0.1066,0.3793,0.434
1,2,342,control,incongruent,deplete-control,0.0881,0.2934,0.4781
1,1,342,deplete,congruent,deplete-control,0.0896,0.344,0.4557
1,1,342,deplete,incongruent,deplete-control,0.114,0.3415,0.4129
1,1,343,control,congruent,control-deplete,0.0953,0.3516,0.3714
1,1,343,control,incongruent,control-deplete,0.0897,0.2499,0.3931
1,2,343,deplete,congruent,control-deplete,0.0918,0.2583,0.4079
1,2,343,deplete,incongruent,control-deplete,0.0885,0.1429,0.4545
1,2,344,control,congruent,deplete-control,0.1545,0.2617,0.3487
1,2,344,control,incongruent,deplete-control,0.1119,0.1216,0.6006
1,1,344,deplete,congruent,deplete-control,0.1533,0.3096,0.4664
1,1,344,deplete,incongruent,deplete-control,0.1149,0.1464,0.6277
1,1,345,control,congruent,control-deplete,0.1039,0.4584,0.3612
1,1,345,control,incongruent,control-deplete,0.0761,0.2922,0.3644
1,2,345,deplete,congruent,control-deplete,0.081,0.3872,0.3579
1,2,345,deplete,incongruent,control-deplete,0.0743,0.228,0.3588
1,2,348,control,congruent,deplete-control,0.1388,0.3921,0.4301
1,2,348,control,incongruent,deplete-control,0.0848,0.1259,0.5655
1,1,348,deplete,congruent,deplete-control,0.1317,0.3596,0.4319
1,1,348,deplete,incongruent,deplete-control,0.0947,0.154,0.5929
1,1,349,control,congruent,control-deplete,0.093,0.3056,0.4072
1,1,349,control,incongruent,control-deplete,0.0963,0.1696,0.389
1,2,349,deplete,congruent,control-deplete,0.084,0.2379,0.4036
1,2,349,deplete,incongruent,control-deplete,0.0843,0.2605,0.4291
1,2,350,control,congruent,deplete-control,0.1335,0.4095,0.3705
1,2,350,control,incongruent,deplete-control,0.1054,0.265,0.4125
1,1,350,deplete,congruent,deplete-control,0.1248,0.2929,0.3446
1,1,350,deplete,incongruent,deplete-control,0.1202,0.2356,0.379
1,1,351,control,congruent,control-deplete,0.1247,0.2888,0.4073
1,1,351,control,incongruent,control-deplete,0.1038,0.2352,0.4885
1,2,351,deplete,congruent,control-deplete,0.1107,0.3019,0.3929
1,2,351,deplete,incongruent,control-deplete,0.1081,0.2566,0.4643
1,2,352,control,congruent,deplete-control,0.119,0.3078,0.4184
1,2,352,control,incongruent,deplete-control,0.1513,0.31,0.4361
1,1,352,deplete,congruent,deplete-control,0.1214,0.3223,0.4332
1,1,352,deplete,incongruent,deplete-control,0.1282,0.3004,0.4237
1,1,353,control,congruent,control-deplete,0.1487,0.3209,0.4725
1,1,353,control,incongruent,control-deplete,0.1236,0.2243,0.545
1,2,353,deplete,congruent,control-deplete,0.1075,0.3091,0.418
1,2,353,deplete,incongruent,control-deplete,0.1293,0.3055,0.4106
1,2,354,control,congruent,deplete-control,0.1371,0.2665,0.3782
1,2,354,control,incongruent,deplete-control,0.13,0.1988,0.4879
1,1,354,deplete,congruent,deplete-control,0.1083,0.336,0.4339
1,1,354,deplete,incongruent,deplete-control,0.1306,0.2312,0.4096
1,1,355,control,congruent,control-deplete,0.1235,0.3871,0.3927
1,1,355,control,incongruent,control-deplete,0.0933,0.1817,0.4823
1,2,355,deplete,congruent,control-deplete,0.1371,0.3976,0.3795
1,2,355,deplete,incongruent,control-deplete,0.0865,0.1889,0.5081
1,1,357,control,congruent,control-deplete,0.1954,0.2781,0.3838
1,1,357,control,incongruent,control-deplete,0.1377,0.1849,0.6417
1,2,357,deplete,congruent,control-deplete,0.1458,0.3739,0.3963
1,2,357,deplete,incongruent,control-deplete,0.1037,0.2497,0.5923
1,2,358,control,congruent,deplete-control,0.1374,0.3454,0.4697
1,2,358,control,incongruent,deplete-control,0.106,0.1901,0.5872
1,1,358,deplete,congruent,deplete-control,0.1346,0.2984,0.4728
1,1,358,deplete,incongruent,deplete-control,0.1042,0.2015,0.6059
1,1,361,control,congruent,control-deplete,0.1468,0.3691,0.4742
1,1,361,control,incongruent,control-deplete,0.1224,0.2662,0.6046
1,2,361,deplete,congruent,control-deplete,0.179,0.306,0.4297
1,2,361,deplete,incongruent,control-deplete,0.1084,0.2087,0.6488
1,2,362,control,congruent,deplete-control,0.1552,0.2593,0.4518
1,2,362,control,incongruent,deplete-control,0.1098,0.1466,0.5993
1,1,362,deplete,congruent,deplete-control,0.1045,0.28,0.4005
1,1,362,deplete,incongruent,deplete-control,0.103,0.1806,0.3809
1,2,364,control,congruent,deplete-control,0.1582,0.3011,0.4505
1,2,364,control,incongruent,deplete-control,0.111,0.2109,0.7425
1,1,364,deplete,congruent,deplete-control,0.1569,0.3046,0.4591
1,1,364,deplete,incongruent,deplete-control,0.1094,0.1676,0.7519
2,1,1,control,congruent,control-deplete,0.1122,0.3242,0.3408
2,1,1,control,incongruent,control-deplete,0.1035,0.2166,0.4672
2,2,1,deplete,congruent,control-deplete,0.1022,0.3233,0.3821
2,2,1,deplete,incongruent,control-deplete,0.1071,0.2217,0.3633
2,2,2,control,congruent,deplete-control,0.107,0.2745,0.4583
2,2,2,control,incongruent,deplete-control,0.1012,0.1962,0.5125
2,1,2,deplete,congruent,deplete-control,0.1284,0.2415,0.4867
2,1,2,deplete,incongruent,deplete-control,0.1252,0.2293,0.5098
2,2,4,control,congruent,deplete-control,0.1582,0.3461,0.4884
2,2,4,control,incongruent,deplete-control,0.1128,0.2511,0.6187
2,1,4,deplete,congruent,deplete-control,0.1584,0.3011,0.461
2,1,4,deplete,incongruent,deplete-control,0.1755,0.2683,0.45
2,2,8,control,congruent,deplete-control,0.1483,0.3687,0.474
2,2,8,control,incongruent,deplete-control,0.1392,0.3371,0.6366
2,1,8,deplete,congruent,deplete-control,0.1614,0.2259,0.4887
2,1,8,deplete,incongruent,deplete-control,0.1292,0.1214,0.861
2,1,9,control,congruent,control-deplete,0.1041,0.3907,0.4416
2,1,9,control,incongruent,control-deplete,0.0918,0.2264,0.4617
2,2,9,deplete,congruent,control-deplete,0.134,0.408,0.4333
2,2,9,deplete,incongruent,control-deplete,0.0921,0.2303,0.4548
2,2,10,control,congruent,deplete-control,0.1197,0.34,0.3496
2,2,10,control,incongruent,deplete-control,0.0948,0.1632,0.4762
2,1,10,deplete,congruent,deplete-control,0.1245,0.3254,0.3582
2,1,10,deplete,incongruent,deplete-control,0.0979,0.1122,0.4816
2,1,11,control,congruent,control-deplete,0.0972,0.3418,0.4471
2,1,11,control,incongruent,control-deplete,0.108,0.2486,0.4913
2,2,11,deplete,congruent,control-deplete,0.1045,0.3869,0.4058
2,2,11,deplete,incongruent,control-deplete,0.0854,0.2098,0.4744
2,2,12,control,congruent,deplete-control,0.1208,0.3941,0.3492
2,2,12,control,incongruent,deplete-control,0.1339,0.3556,0.3524
2,1,12,deplete,congruent,deplete-control,0.157,0.3034,0.3391
2,1,12,deplete,incongruent,deplete-control,0.1421,0.1965,0.4003
2,1,13,control,congruent,control-deplete,0.0994,0.2609,0.394
2,1,13,control,incongruent,control-deplete,0.1122,0.2105,0.3706
2,2,13,deplete,congruent,control-deplete,0.1417,0.3355,0.3779
2,2,13,deplete,incongruent,control-deplete,0.1092,0.2697,0.4436
2,1,15,control,congruent,control-deplete,0.1195,0.2281,0.4495
2,1,15,control,incongruent,control-deplete,0.1024,0.0489,0.7195
2,2,15,deplete,congruent,control-deplete,0.0956,0.2731,0.4022
2,2,15,deplete,incongruent,control-deplete,0.0806,0.1776,0.5296
2,2,16,control,congruent,deplete-control,0.0803,0.3453,0.3597
2,2,16,control,incongruent,deplete-control,0.0827,0.2855,0.3542
2,1,16,deplete,congruent,deplete-control,0.0826,0.3545,0.3657
2,1,16,deplete,incongruent,deplete-control,0.0836,0.3499,0.3844
2,2,20,control,congruent,deplete-control,0.1245,0.3268,0.3686
2,2,20,control,incongruent,deplete-control,0.1017,0.2321,0.4247
2,1,20,deplete,congruent,deplete-control,0.1121,0.2979,0.3502
2,1,20,deplete,incongruent,deplete-control,0.1201,0.2437,0.3869
2,1,21,control,congruent,control-deplete,0.1189,0.3066,0.4331
2,1,21,control,incongruent,control-deplete,0.1097,0.1837,0.4459
2,2,21,deplete,congruent,control-deplete,0.1513,0.313,0.4103
2,2,21,deplete,incongruent,control-deplete,0.1157,0.1722,0.5155
2,2,22,control,congruent,deplete-control,0.1381,0.3447,0.4268
2,2,22,control,incongruent,deplete-control,0.1164,0.2877,0.5749
2,1,22,deplete,congruent,deplete-control,0.1512,0.3149,0.4475
2,1,22,deplete,incongruent,deplete-control,0.1061,0.1775,0.5627
2,1,23,control,congruent,control-deplete,0.1135,0.3515,0.3796
2,1,23,control,incongruent,control-deplete,0.103,0.2412,0.4016
2,2,23,deplete,congruent,control-deplete,0.0915,0.3169,0.3914
2,2,23,deplete,incongruent,control-deplete,0.0948,0.2664,0.3948
2,2,24,control,congruent,deplete-control,0.1346,0.2462,0.4776
2,2,24,control,incongruent,deplete-control,0.1351,0.244,0.6085
2,1,24,deplete,congruent,deplete-control,0.1524,0.3136,0.4762
2,1,24,deplete,incongruent,deplete-control,0.1294,0.219,0.5815
2,2,26,control,congruent,deplete-control,0.123,0.3316,0.4383
2,2,26,control,incongruent,deplete-control,0.0884,0.2201,0.5985
2,1,26,deplete,congruent,deplete-control,0.1163,0.3143,0.4196
2,1,26,deplete,incongruent,deplete-control,0.0897,0.1676,0.5919
2,1,27,control,congruent,control-deplete,0.1002,0.3629,0.4171
2,1,27,control,incongruent,control-deplete,0.1086,0.3035,0.4391
2,2,27,deplete,congruent,control-deplete,0.1034,0.3517,0.4139
2,2,27,deplete,incongruent,control-deplete,0.1193,0.2681,0.4058
2,2,28,control,congruent,deplete-control,0.0998,0.4033,0.3183
2,2,28,control,incongruent,deplete-control,0.0948,0.2704,0.3672
2,1,28,deplete,congruent,deplete-control,0.1123,0.3239,0.3531
2,1,28,deplete,incongruent,deplete-control,0.1074,0.2294,0.3532
2,1,29,control,congruent,control-deplete,0.1068,0.3405,0.3846
2,1,29,control,incongruent,control-deplete,0.0993,0.1621,0.4202
2,2,29,deplete,congruent,control-deplete,0.0983,0.295,0.3691
2,2,29,deplete,incongruent,control-deplete,0.0881,0.2162,0.4259
2,2,30,control,congruent,deplete-control,0.1012,0.3596,0.3495
2,2,30,control,incongruent,deplete-control,0.0933,0.1726,0.445
2,1,30,deplete,congruent,deplete-control,0.1263,0.2881,0.3296
2,1,30,deplete,incongruent,deplete-control,0.1136,0.1284,0.4494
2,1,31,control,congruent,control-deplete,0.1514,0.1927,0.3933
2,1,31,control,incongruent,control-deplete,0.1603,0.1803,0.4631
2,2,31,deplete,congruent,control-deplete,0.1326,0.2057,0.4449
2,2,31,deplete,incongruent,control-deplete,0.1182,0.1303,0.4809
2,1,33,control,congruent,control-deplete,0.1305,0.3662,0.4011
2,1,33,control,incongruent,control-deplete,0.0988,0.2267,0.5642
2,2,33,deplete,congruent,control-deplete,0.1474,0.3682,0.3679
2,2,33,deplete,incongruent,control-deplete,0.1105,0.2984,0.4874
2,2,34,control,congruent,deplete-control,0.1328,0.4123,0.3809
2,2,34,control,incongruent,deplete-control,0.1286,0.3117,0.4053
2,1,34,deplete,congruent,deplete-control,0.1263,0.3777,0.3671
2,1,34,deplete,incongruent,deplete-control,0.1418,0.3358,0.3829
2,1,35,control,congruent,control-deplete,0.122,0.2937,0.3848
2,1,35,control,incongruent,control-deplete,0.1057,0.138,0.4958
2,2,35,deplete,congruent,control-deplete,0.131,0.2777,0.3925
2,2,35,deplete,incongruent,control-deplete,0.0939,0.0834,0.5997
2,2,36,control,congruent,deplete-control,0.0951,0.3836,0.4244
2,2,36,control,incongruent,deplete-control,0.1096,0.3688,0.4535
2,1,36,deplete,congruent,deplete-control,0.1212,0.4498,0.4177
2,1,36,deplete,incongruent,deplete-control,0.1206,0.3874,0.4218
2,1,37,control,congruent,control-deplete,0.1206,0.2979,0.4128
2,1,37,control,incongruent,control-deplete,0.0872,0.2593,0.5336
2,2,37,deplete,congruent,control-deplete,0.0923,0.2713,0.4037
2,2,37,deplete,incongruent,control-deplete,0.0943,0.2483,0.4399
2,2,38,control,congruent,deplete-control,0.1015,0.3993,0.3982
2,2,38,control,incongruent,deplete-control,0.081,0.352,0.43
2,1,38,deplete,congruent,deplete-control,0.0907,0.4478,0.467
2,1,38,deplete,incongruent,deplete-control,0.0838,0.3911,0.4705
2,1,39,control,congruent,control-deplete,0.1592,0.3435,0.4162
2,1,39,control,incongruent,control-deplete,0.1095,0.1223,0.5084
2,2,39,deplete,congruent,control-deplete,0.1491,0.3189,0.4147
2,2,39,deplete,incongruent,control-deplete,0.0942,0.1708,0.6409
2,2,40,control,congruent,deplete-control,0.0833,0.3765,0.4095
