study,session,pNo,condition,congruency,sessionOrder,a,v,t0_Ter
1,1,43,control,congruent,control-deplete,0.109,0.3686,0.3989
1,1,43,control,incongruent,control-deplete,0.1067,0.2897,0.4077
1,2,43,deplete,congruent,control-deplete,0.0983,0.2902,0.3687
1,2,43,deplete,incongruent,control-deplete,0.0921,0.2629,0.4026
1,2,44,control,congruent,deplete-control,0.1437,0.3278,0.3879
1,2,44,control,incongruent,deplete-control,0.1447,0.2182,0.4314
1,1,44,deplete,congruent,deplete-control,0.1427,0.2322,0.346
1,1,44,deplete,incongruent,deplete-control,0.1605,0.2462,0.423
1,1,45,control,congruent,control-deplete,0.1855,0.2576,0.4355
1,1,45,control,incongruent,control-deplete,0.1582,0.2522,0.7163
1,2,45,deplete,congruent,control-deplete,0.1435,0.2528,0.4411
1,2,45,deplete,incongruent,control-deplete,0.1477,0.2256,0.6878
1,1,47,control,congruent,control-deplete,0.2005,0.2376,0.4918
1,1,47,control,incongruent,control-deplete,0.1223,0.1448,0.7582
1,2,47,deplete,congruent,control-deplete,0.2319,0.2354,0.3653
1,2,47,deplete,incongruent,control-deplete,0.1287,0.1774,0.6474
1,1,49,control,congruent,control-deplete,0.1259,0.3231,0.3375
1,1,49,control,incongruent,control-deplete,0.1012,0.1881,0.3971
1,2,49,deplete,congruent,control-deplete,0.0965,0.3787,0.3668
1,2,49,deplete,incongruent,control-deplete,0.0902,0.2374,0.4083
1,2,50,control,congruent,deplete-control,0.1057,0.2287,0.5041
1,2,50,control,incongruent,deplete-control,0.0942,0.1786,0.5823
1,1,50,deplete,congruent,deplete-control,0.1529,0.1771,0.482
1,1,50,deplete,incongruent,deplete-control,0.1256,0.1481,0.6618
1,2,52,control,congruent,deplete-control,0.1507,0.27,0.413
1,2,52,control,incongruent,deplete-control,0.1114,0.088,0.8064
1,1,52,deplete,congruent,deplete-control,0.1469,0.2292,0.4228
1,1,52,deplete,incongruent,deplete-control,0.1033,0.0149,0.8301
1,1,53,control,congruent,control-deplete,0.1528,0.3568,0.3435
1,1,53,control,incongruent,control-deplete,0.1407,0.2737,0.374
1,2,53,deplete,congruent,control-deplete,0.1364,0.3997,0.3971
1,2,53,deplete,incongruent,control-deplete,0.1069,0.2154,0.4119
1,2,54,control,congruent,deplete-control,0.1253,0.322,0.393
1,2,54,control,incongruent,deplete-control,0.1102,0.2274,0.3867
1,1,54,deplete,congruent,deplete-control,0.1152,0.2517,0.3822
1,1,54,deplete,incongruent,deplete-control,0.1352,0.2424,0.3606
1,2,56,control,congruent,deplete-control,0.1698,0.3221,0.4125
1,2,56,control,incongruent,deplete-control,0.0842,0.1088,0.7451
1,1,56,deplete,congruent,deplete-control,0.1504,0.3161,0.3436
1,1,56,deplete,incongruent,deplete-control,0.1253,-0.1896,0.4903
1,1,57,control,congruent,control-deplete,0.1237,0.2956,0.3837
1,1,57,control,incongruent,control-deplete,0.1042,0.1679,0.4718
1,2,57,deplete,congruent,control-deplete,0.1256,0.2309,0.3528
1,2,57,deplete,incongruent,control-deplete,0.1082,0.139,0.5492
1,1,59,control,congruent,control-deplete,0.1825,0.3001,0.3837
1,1,59,control,incongruent,control-deplete,0.116,0.166,0.6468
1,2,59,deplete,congruent,control-deplete,0.1309,0.3626,0.3875
1,2,59,deplete,incongruent,control-deplete,0.0969,0.1783,0.4806
1,2,60,control,congruent,deplete-control,0.1411,0.3874,0.3611
1,2,60,control,incongruent,deplete-control,0.095,0.2232,0.5514
1,1,60,deplete,congruent,deplete-control,0.1348,0.3546,0.4111
1,1,60,deplete,incongruent,deplete-control,0.1059,0.1857,0.5869
1,2,62,control,congruent,deplete-control,0.1616,0.3385,0.4177
1,2,62,control,incongruent,deplete-control,0.1296,0.2558,0.5529
1,1,62,deplete,congruent,deplete-control,0.1595,0.2985,0.4369
1,1,62,deplete,incongruent,deplete-control,0.1289,0.1526,0.5074
1,2,64,control,congruent,deplete-control,0.1449,0.2791,0.4377
1,2,64,control,incongruent,deplete-control,0.0988,0.0867,0.597
1,1,64,deplete,congruent,deplete-control,0.1584,0.2553,0.5049
1,1,64,deplete,incongruent,deplete-control,0.1167,0.1188,0.7071
1,1,65,control,congruent,control-deplete,0.1204,0.3969,0.4222
1,1,65,control,incongruent,control-deplete,0.1072,0.2587,0.5026
1,2,65,deplete,congruent,control-deplete,0.1054,0.4526,0.3735
1,2,65,deplete,incongruent,control-deplete,0.0904,0.2995,0.4078
1,1,71,control,congruent,control-deplete,0.0941,0.3796,0.4233
1,1,71,control,incongruent,control-deplete,0.0686,0.1601,0.5367
1,2,71,deplete,congruent,control-deplete,0.0798,0.296,0.4301
1,2,71,deplete,incongruent,control-deplete,0.0822,0.2045,0.4454
1,1,73,control,congruent,control-deplete,0.1376,0.292,0.3977
1,1,73,control,incongruent,control-deplete,0.0958,0.1498,0.6052
1,2,73,deplete,congruent,control-deplete,0.1209,0.2742,0.3952
1,2,73,deplete,incongruent,control-deplete,0.1243,0.231,0.4037
1,2,74,control,congruent,deplete-control,0.1101,0.2232,0.3518
1,2,74,control,incongruent,deplete-control,0.1092,0.1474,0.3777
1,1,74,deplete,congruent,deplete-control,0.0982,0.2875,0.4043
1,1,74,deplete,incongruent,deplete-control,0.0978,0.2099,0.4233
1,2,76,control,congruent,deplete-control,0.1334,0.2727,0.3772
1,2,76,control,incongruent,deplete-control,0.1416,0.2287,0.3656
1,1,76,deplete,congruent,deplete-control,0.1306,0.2285,0.4619
1,1,76,deplete,incongruent,deplete-control,0.1619,0.2309,0.4682
1,1,79,control,congruent,control-deplete,0.1145,0.3501,0.4754
1,1,79,control,incongruent,control-deplete,0.102,0.2656,0.4747
