pNo,condition,study,a,v,bored,effort,fatigue,frustrate,mentaldemand,session
94,deplete,1,0.16115,0.24675,70,61,10,68,70,1
96,control,1,0.0994,0.3351,42,55,14,10,30,2
96,deplete,1,0.10665,0.30555,70,51,62,65,54,1
97,control,1,0.1658,0.1418,63,19,10,11,24,1
97,deplete,1,0.18175,0.19285,70,70,70,46,70,2
98,control,1,0.1396,0.33705,11,10,10,10,11,2
98,deplete,1,0.1413,0.2789,70,62,56,47,66,1
1,control,2,0.10785,0.2704,47,50,41,12,50,1
1,deplete,2,0.10465,0.2725,70,48,70,70,63,2
10,control,2,0.10725,0.2516,70,40,43,66,54,2
10,deplete,2,0.1112,0.2188,44,60,46,48,65,1
100,control,2,0.1435,0.1606,46,54,47,49,21,2
100,deplete,2,0.1504,0.22075,37,57,25,46,38,1
101,control,2,0.1507,0.21805,16,19,12,10,29,1
101,deplete,2,0.1568,0.23415,45,54,52,19,60,2
102,control,2,0.12445,0.30075,49,16,42,18,28,2
102,deplete,2,0.1197,0.21765,29,58,63,39,45,1
103,control,2,0.07845,0.1363,21,11,11,10,11,1
103,deplete,2,0.0857,0.1305,47,18,70,26,23,2
104,control,2,0.10885,0.23435,67,57,44,45,40,2
104,deplete,2,0.1117,0.2728,70,50,70,50,53,1
107,control,2,0.15155,0.3355,32,20,23,23,18,1
107,deplete,2,0.13835,0.29355,58,67,62,54,67,2
109,control,2,0.12915,0.2379,56,48,13,11,13,1
109,deplete,2,0.11095,0.28345,52,49,27,24,48,2
11,control,2,0.1026,0.2952,59,49,41,21,51,1
11,deplete,2,0.09495,0.29835,23,50,52,30,48,2
110,control,2,0.12325,0.28835,44,27,15,22,26,2
110,deplete,2,0.14195,0.35765,46,48,43,54,63,1
111,control,2,0.15145,0.2596,42,12,29,14,17,1
111,deplete,2,0.12335,0.2619,35,51,16,51,52,2
113,control,2,0.1087,0.3177,11,16,13,10,15,1
113,deplete,2,0.10675,0.3487,18,68,61,24,69,2
114,control,2,0.1338,0.304,46,27,37,47,14,2
114,deplete,2,0.1328,0.2674,38,42,49,46,51,1
115,control,2,0.10965,0.29085,63,63,59,33,54,1
115,deplete,2,0.11865,0.2608,21,58,20,19,61,2
116,control,2,0.1028,0.2914,44,10,17,11,19,2
116,deplete,2,0.1082,0.30335,63,67,58,52,62,1
12,control,2,0.12735,0.37485,10,10,10,11,11,2
12,deplete,2,0.14955,0.24995,37,45,32,45,54,1
123,control,2,0.13515,0.17895,24,12,10,13,11,1
123,deplete,2,0.1036,0.2128,51,48,19,21,54,2
124,control,2,0.09515,0.30915,43,20,23,18,50,2
124,deplete,2,0.11295,0.3695,47,32,20,16,42,1
125,control,2,0.11405,0.3302,26,35,23,12,28,1
125,deplete,2,0.10685,0.26915,38,62,62,47,70,2
126,control,2,0.1089,0.2673,64,15,11,10,17,2
126,deplete,2,0.16015,0.21885,66,54,24,20,59,1
127,control,2,0.1094,0.33065,21,19,11,10,15,1
127,deplete,2,0.1089,0.3574,59,65,37,59,69,2
128,control,2,0.08625,0.20475,23,29,30,45,30,2
128,deplete,2,0.09825,0.2101,27,49,44,32,51,1
129,control,2,0.1233,0.2662,55,14,11,13,13,1
129,deplete,2,0.11285,0.23325,54,46,30,11,56,2
13,control,2,0.1058,0.2357,60,45,20,16,31,1
13,deplete,2,0.12545,0.3026,55,54,55,57,52,2
131,control,2,0.15325,0.30295,22,30,14,51,15,1
131,deplete,2,0.11015,0.2377,34,40,48,43,61,2
133,control,2,0.20065,0.2129,31,31,28,44,31,1
133,deplete,2,0.1369,0.23355,26,59,50,32,70,2
134,control,2,0.1267,0.31465,49,55,19,41,23,2
134,deplete,2,0.14485,0.23785,36,58,50,44,58,1
135,control,2,0.1571,0.29605,29,14,45,15,24,1
135,deplete,2,0.1099,0.33295,52,56,56,61,58,2
137,control,2,0.1365,0.2137,33,16,11,22,22,1
137,deplete,2,0.13255,0.23085,47,52,55,46,53,2
138,control,2,0.11015,0.2086,38,15,14,26,13,2
138,deplete,2,0.1124,0.36635,29,69,46,25,60,1
139,control,2,0.14725,0.2754,70,62,50,70,62,1
139,deplete,2,0.12275,0.2169,70,70,67,55,70,2
140,control,2,0.1018,0.2037,17,16,17,17,15,2
140,deplete,2,0.1005,0.2065,32,35,17,10,28,1
142,control,2,0.0959,0.22805,32,12,28,27,11,2
142,deplete,2,0.11045,0.20995,29,54,61,57,54,1
143,control,2,0.1362,0.37155,38,50,22,55,61,1
143,deplete,2,0.1306,0.35945,15,70,19,46,51,2
144,control,2,0.1121,0.25895,12,11,14,12,15,2
144,deplete,2,0.10625,0.18215,24,30,10,22,61,1
147,control,2,0.12465,0.1936,60,11,11,12,21,1
147,deplete,2,0.1197,0.20455,14,48,41,41,45,2
15,control,2,0.11095,0.1385,47,45,60,12,18,1
15,deplete,2,0.0881,0.22535,46,41,42,25,44,2
150,control,2,0.125,0.25865,58,11,12,14,11,2
150,deplete,2,0.1299,0.24825,70,32,21,64,45,1
151,control,2,0.12885,0.31255,23,11,11,10,11,1
151,deplete,2,0.12335,0.3443,23,45,49,45,45,2
152,control,2,0.12045,0.2732,53,46,24,12,33,2
152,deplete,2,0.14415,0.2548,62,27,49,48,21,1
153,control,2,0.11235,0.3208,28,18,15,16,12,1
153,deplete,2,0.10715,0.29745,44,70,63,21,70,2
154,control,2,0.1051,0.3003,19,15,20,26,13,2
154,deplete,2,0.1007,0.2297,55,70,55,42,59,1
155,control,2,0.14465,0.17445,70,59,41,50,57,1
155,deplete,2,0.1295,0.0947,56,55,49,63,70,2
156,control,2,0.1271,0.26785,52,11,11,10,10,2
156,deplete,2,0.1766,0.1767,36,57,70,58,45,1
157,control,2,0.11025,0.2443,28,30,12,29,55,1
157,deplete,2,0.092,0.2361,68,48,50,24,67,2
158,control,2,0.15675,0.20805,13,52,25,45,57,2
158,deplete,2,0.18555,0.1769,35,49,54,37,53,1
159,control,2,0.11495,0.2655,10,17,35,56,40,1
159,deplete,2,0.0845,0.2495,59,41,53,26,54,2
16,control,2,0.0815,0.3154,62,25,19,10,28,2
16,deplete,2,0.0831,0.3522,70,70,67,57,70,1
160,control,2,0.1024,0.1025,14,11,14,10,17,2
160,deplete,2,0.14925,0.1753,70,27,59,55,16,1
161,control,2,0.1031,0.25515,25,20,32,27,22,1
161,deplete,2,0.1075,0.30365,43,64,43,45,66,2
162,control,2,0.09845,0.3174,40,17,19,34,23,2
162,deplete,2,0.0822,0.3391,39,70,32,64,70,1
163,control,2,0.10875,0.3126,35,16,15,25,20,1
163,deplete,2,0.08215,0.31395,65,66,65,45,68,2
166,control,2,0.106,0.15725,12,14,12,39,40,2
166,deplete,2,0.0979,0.18775,70,55,55,61,70,1
167,control,2,0.1575,0.2341,24,11,11,11,25,1
167,deplete,2,0.1609,0.1927,70,70,70,58,70,2
168,control,2,0.0937,0.3617,57,34,26,41,29,2
168,deplete,2,0.09995,0.25905,50,66,43,49,55,1
169,control,2,0.1357,0.2464,43,45,37,14,40,1
169,deplete,2,0.1172,0.2633,57,45,48,35,47,2
170,control,2,0.10175,0.4093,15,26,49,58,52,2
170,deplete,2,0.1007,0.3052,35,58,26,15,61,1
171,control,2,0.13925,0.3349,56,39,48,15,23,1
171,deplete,2,0.10735,0.2751,37,67,48,64,65,2
172,control,2,0.12365,0.2881,22,37,44,19,28,2
172,deplete,2,0.1781,0.16595,62,60,57,49,47,1
173,control,2,0.16155,0.22275,23,20,10,13,10,1
173,deplete,2,0.1224,0.2888,49,64,51,43,58,2
2,control,2,0.1041,0.23535,30,23,12,17,12,2
2,deplete,2,0.1268,0.2354,33,52,10,33,47,1
20,control,2,0.1131,0.27945,34,28,24,14,20,2
20,deplete,2,0.1161,0.2708,70,45,34,19,45,1
21,control,2,0.1143,0.24515,12,19,38,19,16,1
21,deplete,2,0.1335,0.2426,70,37,32,30,26,2
22,control,2,0.12725,0.3162,57,13,21,22,12,2
22,deplete,2,0.12865,0.2462,70,22,62,61,61,1
23,control,2,0.10825,0.29635,56,30,35,13,20,1
23,deplete,2,0.09315,0.29165,44,50,48,49,70,2
24,control,2,0.13485,0.2451,66,11,12,12,13,2
24,deplete,2,0.1409,0.2663,44,62,51,60,67,1
26,control,2,0.1057,0.27585,69,58,48,55,16,2
26,deplete,2,0.103,0.24095,31,45,43,44,48,1
27,control,2,0.1044,0.3332,32,18,14,16,29,1
27,deplete,2,0.11135,0.3099,47,55,35,26,33,2
28,control,2,0.0973,0.33685,43,11,11,10,11,2
28,deplete,2,0.10985,0.27665,44,21,46,45,44,1
29,control,2,0.10305,0.2513,48,36,25,11,26,1
29,deplete,2,0.0932,0.2556,68,62,43,45,63,2
30,control,2,0.09725,0.2661,68,16,18,11,11,2
30,deplete,2,0.11995,0.20825,48,46,70,45,51,1
31,control,2,0.15585,0.1865,70,17,64,66,45,1
31,deplete,2,0.1254,0.168,69,59,70,65,65,2
33,control,2,0.11465,0.29645,18,16,25,17,22,1
33,deplete,2,0.12895,0.3333,55,51,42,38,48,2
34,control,2,0.1307,0.362,24,33,13,15,22,2
34,deplete,2,0.13405,0.35675,45,61,37,41,52,1
35,control,2,0.11385,0.21585,24,12,11,11,11,1
35,deplete,2,0.11245,0.18055,44,38,14,22,28,2
36,control,2,0.10235,0.3762,48,24,21,25,24,2
36,deplete,2,0.1209,0.4186,38,40,48,44,35,1
37,control,2,0.1039,0.2786,15,24,10,21,21,1
37,deplete,2,0.0933,0.2598,32,42,50,22,43,2
38,control,2,0.09125,0.37565,40,10,10,10,10,2
38,deplete,2,0.08725,0.41945,48,55,63,44,70,1
39,control,2,0.13435,0.2329,33,20,18,36,32,1
39,deplete,2,0.12165,0.24485,17,52,23,39,61,2
4,control,2,0.1355,0.2986,39,11,11,19,10,2
4,deplete,2,0.16695,0.2847,60,61,47,62,59,1
40,control,2,0.09665,0.3696,13,17,11,10,15,2
40,deplete,2,0.0917,0.36325,41,39,16,39,39,1
41,control,2,0.1066,0.2294,44,17,10,10,10,1
41,deplete,2,0.1161,0.2598,45,44,43,32,47,2
42,control,2,0.10485,0.19225,11,13,12,15,12,2
42,deplete,2,0.0923,0.14815,44,52,10,20,31,1
43,control,2,0.1258,0.22805,57,13,14,15,14,1
43,deplete,2,0.11645,0.27725,10,70,66,70,70,2
44,control,2,0.0924,0.32645,15,13,26,13,14,2
44,deplete,2,0.1005,0.2507,50,45,51,51,54,1
45,control,2,0.15365,0.19825,49,17,23,14,13,1
45,deplete,2,0.11985,0.26175,36,49,16,25,57,2
46,control,2,0.14735,0.2716,12,14,62,16,16,1
46,deplete,2,0.1855,0.25445,66,51,47,55,64,2
48,control,2,0.10085,0.2258,50,17,13,11,13,2
48,deplete,2,0.1286,0.23355,65,60,55,48,50,1
49,control,2,0.12175,0.19225,32,13,14,34,14,1
49,deplete,2,0.096,0.20255,39,58,59,56,62,2
50,control,2,0.0996,0.2626,43,54,29,48,27,2
50,deplete,2,0.10675,0.2645,55,47,54,20,46,1
51,control,2,0.10245,0.31245,17,26,38,23,23,1
51,deplete,2,0.11475,0.32945,26,53,55,46,59,2
52,control,2,0.0911,0.3002,51,11,21,18,11,2
52,deplete,2,0.09425,0.2372,61,33,42,35,41,1
53,control,2,0.14885,0.34115,43,42,24,13,16,1
53,deplete,2,0.12265,0.32775,49,43,29,32,36,2
55,control,2,0.1103,0.25755,49,46,23,29,52,1
55,deplete,2,0.0899,0.25395,52,52,31,51,58,2
56,control,2,0.1253,0.318,48,16,30,32,18,2
56,deplete,2,0.12735,0.2866,26,56,49,49,68,1
60,control,2,0.0997,0.2913,47,13,23,13,12,2
60,deplete,2,0.11555,0.2113,70,68,70,70,70,1
61,control,2,0.11285,0.27625,10,24,14,10,54,1
61,deplete,2,0.1062,0.3126,20,47,31,46,48,2
62,control,2,0.0934,0.40435,50,29,21,38,21,2
62,deplete,2,0.1394,0.2671,34,49,47,43,50,1
63,control,2,0.15765,0.2272,64,39,10,10,10,1
63,deplete,2,0.19045,0.24695,53,49,40,10,53,2
64,control,2,0.1269,0.2372,66,55,11,46,11,2
64,deplete,2,0.1562,0.2403,18,66,33,61,64,1
67,control,2,0.1301,0.2362,60,10,47,46,11,1
67,deplete,2,0.11685,0.16325,65,66,66,64,67,2
68,control,2,0.1264,0.21555,25,10,10,10,10,2
68,deplete,2,0.1328,0.2068,38,44,37,44,46,1
69,control,2,0.15485,0.27755,32,50,34,48,42,1
69,deplete,2,0.13065,0.2778,18,70,55,59,70,2
70,control,2,0.1344,0.3209,26,10,10,10,10,2
70,deplete,2,0.12865,0.30095,57,59,10,39,43,1
71,control,2,0.13585,0.30035,56,13,37,27,15,1
71,deplete,2,0.102,0.1852,49,64,59,56,62,2
72,control,2,0.11185,0.3205,12,15,12,21,13,2
72,deplete,2,0.1358,0.31425,10,51,53,21,59,1
73,control,2,0.10405,0.21325,38,42,29,20,35,1
73,deplete,2,0.11105,0.3205,34,60,52,48,67,2
75,control,2,0.14985,0.2781,25,18,19,23,23,1
75,deplete,2,0.11105,0.2447,63,56,62,62,62,2
76,control,2,0.10035,0.3944,19,12,20,12,10,2
76,deplete,2,0.0971,0.35555,31,70,35,70,70,1
77,control,2,0.1355,0.2401,48,19,22,54,14,1
77,deplete,2,0.1116,0.218,58,48,51,66,58,2
78,control,2,0.10595,0.27445,24,39,27,15,44,2
78,deplete,2,0.13225,0.24805,38,44,28,39,49,1
79,control,2,0.1175,0.24685,15,13,10,10,13,2
79,deplete,2,0.1279,0.26105,53,56,53,59,53,1
8,control,2,0.14375,0.3529,46,20,14,17,23,2
8,deplete,2,0.1453,0.17365,69,58,57,70,70,1
80,control,2,0.1289,0.33615,35,40,18,33,31,2
80,deplete,2,0.1385,0.31145,32,47,49,31,54,1
81,control,2,0.10485,0.16225,69,62,28,51,29,2
81,deplete,2,0.10705,0.1801,44,59,44,70,65,1
82,control,2,0.11695,0.2448,20,15,11,18,15,2
82,deplete,2,0.13575,0.34035,56,52,50,43,62,1
83,control,2,0.1494,0.1602,26,27,34,50,32,1
83,deplete,2,0.1252,0.11905,58,47,58,58,70,2
84,control,2,0.12005,0.2531,47,29,16,13,31,2
84,deplete,2,0.12505,0.31975,22,67,33,52,57,1
86,control,2,0.10265,0.31195,18,11,12,17,10,2
86,deplete,2,0.11225,0.3145,49,41,67,20,42,1
87,control,2,0.10665,0.31485,10,12,10,27,40,1
87,deplete,2,0.094,0.23185,40,47,47,25,48,2
88,control,2,0.15435,0.19115,22,16,30,16,15,2
88,deplete,2,0.17515,0.18095,59,59,57,51,30,1
89,control,2,0.1393,0.25465,19,35,21,43,30,1
89,deplete,2,0.1364,0.3145,12,64,44,23,45,2
9,control,2,0.09795,0.30855,44,45,32,17,22,1
9,deplete,2,0.11305,0.31915,37,52,41,49,49,2
90,control,2,0.1336,0.25605,22,28,26,32,32,2
90,deplete,2,0.1108,0.21305,42,46,37,55,44,1
92,control,2,0.1325,0.2122,16,10,40,28,38,2
92,deplete,2,0.138,0.22235,36,50,32,37,41,1
93,control,2,0.16575,0.2081,10,35,17,11,39,1
93,deplete,2,0.1456,0.22575,53,49,62,41,57,2
94,control,2,0.1012,0.37095,50,44,15,11,12,2
94,deplete,2,0.0992,0.35875,30,41,43,27,49,1
95,control,2,0.16445,0.23505,53,52,33,21,49,1
95,deplete,2,0.12135,0.26075,28,70,61,52,54,2
96,control,2,0.118,0.21745,39,34,36,33,27,2
96,deplete,2,0.151,0.2355,43,41,32,41,41,1
97,control,2,0.1157,0.3087,20,12,14,12,13,1
97,deplete,2,0.1074,0.37605,37,46,55,42,56,2
99,control,2,0.1405,0.3054,28,26,33,13,44,1
99,deplete,2,0.10225,0.31375,13,70,15,20,70,2
JSCTIY4&(9@QK1&(,control,3,0.1161,0.2241,49,21,67,32,15,1
JSCTIY4&(9@QK1&(,deplete,3,0.14125,0.20315,66,60,51,32,70,2
I^J90YM7^9^L1&(,control,3,0.09135,0.32505,39,14,10,15,15,2
I^J90YM7^9^L1&(,deplete,3,0.0766,0.2161,70,48,40,70,70,1
@H&(BUU#JKF4L1&(,control,3,0.12305,0.2828,26,12,12,13,13,2
@H&(BUU#JKF4L1&(,deplete,3,0.09535,0.3786,48,56,48,57,58,1
21SIC7ELGAE#L1&(,control,3,0.11865,0.2724,56,11,16,28,26,2
21SIC7ELGAE#L1&(,deplete,3,0.09845,0.2414,14,70,60,57,70,1
GMU1QFMOJ9BL1&(,control,3,0.11145,0.3034,51,23,30,18,27,2
GMU1QFMOJ9BL1&(,deplete,3,0.1356,0.248,65,70,70,49,70,1
!XCS^BRHILQL1&(,control,3,0.12345,0.2293,19,12,10,13,19,2
!XCS^BRHILQL1&(,deplete,3,0.12205,0.23075,29,33,10,17,46,1
WKE9L&(2K1Z$M1&(,control,3,0.1551,0.3268,19,14,46,10,17,2
WKE9L&(2K1Z$M1&(,deplete,3,0.13195,0.3832,57,70,70,65,70,1
^22MLO2&(BBRM1&(,control,3,0.1466,0.2582,59,11,12,16,13,1
^22MLO2&(BBRM1&(,deplete,3,0.1489,0.21085,59,49,61,12,56,2
ZZESRIM0FE1!1&(,control,3,0.14465,0.22275,13,10,10,10,10,2
ZZESRIM0FE1!1&(,deplete,3,0.1258,0.3005,23,58,51,22,56,1
RQ29@XLTKT8!1&(,control,3,0.13135,0.31015,36,37,18,24,33,2
RQ29@XLTKT8!1&(,deplete,3,0.12255,0.2,70,54,56,51,53,1
787&(E8!CZSC!1&(,control,3,0.10815,0.26215,60,20,37,46,15,2
787&(E8!CZSC!1&(,deplete,3,0.09615,0.2354,62,57,58,62,65,1
SSU^8T9W48K!1&(,control,3,0.13055,0.17695,40,13,12,14,11,2
SSU^8T9W48K!1&(,deplete,3,0.12355,0.2453,22,70,70,64,70,1
M994WBEUT1FAE1&(,control,3,0.15825,0.2043,43,48,47,52,56,2
M994WBEUT1FAE1&(,deplete,3,0.1453,0.2264,64,43,34,48,46,1
G91YQ4BFBCKAE1&(,control,3,0.123,0.351,55,10,10,10,10,2
G91YQ4BFBCKAE1&(,deplete,3,0.09585,0.3976,70,70,45,49,70,1
W2ZF#JT49JIQ1&(,control,3,0.08995,0.1778,20,21,17,12,20,2
W2ZF#JT49JIQ1&(,deplete,3,0.09265,0.28555,70,67,68,70,67,1
Q7#0500E@GRQ1&(,control,3,0.15755,0.274,10,20,10,10,15,1
Q7#0500E@GRQ1&(,deplete,3,0.1546,0.24475,30,68,10,10,65,2
9JZXFCLYR1XQ1&(,control,3,0.15185,0.33425,11,12,11,12,14,1
9JZXFCLYR1XQ1&(,deplete,3,0.149,0.3178,10,70,67,23,70,2
QBO1MIH0F8OT1&(,control,3,0.1256,0.23335,30,20,23,30,21,1
QBO1MIH0F8OT1&(,deplete,3,0.1349,0.241,43,65,43,35,57,2
L5EJ8F#BL7WU1&(,control,3,0.17605,0.2667,15,12,13,13,14,2
L5EJ8F#BL7WU1&(,deplete,3,0.16025,0.22625,45,56,68,56,57,1
LIBAE^&(CML@XU1&(,control,3,0.1247,0.1664,10,11,25,12,26,1
LIBAE^&(CML@XU1&(,deplete,3,0.13035,0.20765,70,70,70,70,70,2
!WC9LF2W2YU1&(,control,3,0.14325,0.19895,11,14,12,11,20,1
!WC9LF2W2YU1&(,deplete,3,0.1407,0.21155,49,54,59,33,59,2
#MG7$AEYJ0AE2@1&(,control,3,0.1112,0.17065,10,11,10,10,11,2
#MG7$AEYJ0AE2@1&(,deplete,3,0.0848,0.306,10,46,17,19,62,1
0AEJ15UTHFSZ@1&(,control,3,0.09,0.4217,43,10,32,29,11,2
0AEJ15UTHFSZ@1&(,deplete,3,0.1062,0.3608,62,70,65,54,70,1
XT7$@W1AE7B8W1&(,control,3,0.1399,0.24175,45,21,10,10,21,1
XT7$@W1AE7B8W1&(,deplete,3,0.14335,0.21885,36,53,62,54,68,2
H8Q0G4@^9Z#X1&(,control,3,0.1223,0.34885,13,15,10,31,10,1
H8Q0G4@^9Z#X1&(,deplete,3,0.11025,0.3314,42,44,44,50,49,2
FI85^WXXWZBY1&(,control,3,0.1089,0.2957,11,10,11,11,11,2
FI85^WXXWZBY1&(,deplete,3,0.13005,0.2698,10,67,20,15,44,1
T1$K2#4&(U2YZ1&(,control,3,0.13945,0.2666,66,51,45,24,24,2
T1$K2#4&(U2YZ1&(,deplete,3,0.12775,0.3109,70,70,70,70,70,1
R24HJ###5B002&(,control,3,0.12515,0.21075,45,16,14,18,17,1
R24HJ###5B002&(,deplete,3,0.12905,0.23415,44,30,20,26,45,2
5774YBOCTI!02&(,control,3,0.126,0.32495,70,10,10,54,10,1
5774YBOCTI!02&(,deplete,3,0.10915,0.37165,30,43,10,35,70,2
!WOBC^W@^IW02&(,control,3,0.13835,0.34185,55,17,16,14,31,1
!WOBC^W@^IW02&(,deplete,3,0.11345,0.2435,46,43,49,28,46,2
HF1T5ZMB7^4^2&(,control,3,0.0995,0.23615,17,12,11,30,13,1
HF1T5ZMB7^4^2&(,deplete,3,0.10095,0.29535,21,70,70,55,70,2
R^M72ZG4UI242&(,control,3,0.0869,0.3062,11,37,11,14,58,1
R^M72ZG4UI242&(,deplete,3,0.0913,0.3293,27,53,51,45,50,2
9KGCFAE5SEF052&(,control,3,0.10765,0.407,39,14,14,14,15,2
9KGCFAE5SEF052&(,deplete,3,0.101,0.4128,52,59,53,54,55,1
1^7TGI0$U1^52&(,control,3,0.1692,0.26015,28,11,10,13,13,2
1^7TGI0$U1^52&(,deplete,3,0.1436,0.27,24,69,58,15,63,1
XOM2AEGBEH4&(#2&(,control,3,0.1105,0.2421,10,12,10,10,17,2
XOM2AEGBEH4&(#2&(,deplete,3,0.10165,0.21355,10,69,15,25,56,1
O&(L0OCUB#7I#2&(,control,3,0.1269,0.31825,52,10,10,17,10,2
O&(L0OCUB#7I#2&(,deplete,3,0.12105,0.222,66,46,48,65,46,1
!@T&(TFGGLG!#2&(,control,3,0.1325,0.3216,10,14,10,10,21,1
!@T&(TFGGLG!#2&(,deplete,3,0.1479,0.3224,28,62,57,10,69,2
RFZM5CIJ#BC72&(,control,3,0.1167,0.17575,49,14,17,25,25,1
RFZM5CIJ#BC72&(,deplete,3,0.1224,0.3059,45,44,48,31,51,2
Q8SJXF9OGB!72&(,control,3,0.11105,0.3308,21,26,11,19,19,2
Q8SJXF9OGB!72&(,deplete,3,0.0973,0.29265,70,51,70,56,55,1
E^!&(WW4AES&(182&(,control,3,0.17125,0.2086,14,11,15,13,14,2
E^!&(WW4AES&(182&(,deplete,3,0.14525,0.2806,12,36,64,53,56,1
L@KOY^LQXYS82&(,control,3,0.1365,0.2383,63,10,27,63,10,2
L@KOY^LQXYS82&(,deplete,3,0.113,0.25055,49,70,62,46,60,1
I$GJR0OFY&(992&(,control,3,0.17365,0.1505,66,23,18,64,22,2
I$GJR0OFY&(992&(,deplete,3,0.1483,0.16885,68,56,55,17,61,1
9O1WJAEMQM2&(92&(,control,3,0.11895,0.28815,50,19,12,10,17,1
9O1WJAEMQM2&(92&(,deplete,3,0.09775,0.3486,64,24,39,22,38,2
YC1!#@9O0I92&(,control,3,0.1494,0.3404,13,10,10,10,10,2
YC1!#@9O0I92&(,deplete,3,0.1631,0.2923,27,64,23,25,51,1
J^59GE5BL70&(2&(,control,3,0.11455,0.2455,17,17,12,52,15,1
J^59GE5BL70&(2&(,deplete,3,0.09715,0.2308,21,62,65,47,63,2
H$J80#&(AE&(E8B2&(,control,3,0.152,0.3342,10,11,12,11,11,1
H$J80#&(AE&(E8B2&(,deplete,3,0.15175,0.33105,41,70,51,27,64,2
0^$F@!0$LUJB2&(,control,3,0.09155,0.1576,12,12,13,12,13,1
0^$F@!0$LUJB2&(,deplete,3,0.13235,0.15245,70,64,59,16,58,2
WXBWTAE0XC1!B2&(,control,3,0.10715,0.3038,48,14,13,11,20,1
WXBWTAE0XC1!B2&(,deplete,3,0.11935,0.24315,38,51,58,45,65,2
UX9QCM29OT^E2&(,control,3,0.10645,0.25255,51,16,10,10,17,1
UX9QCM29OT^E2&(,deplete,3,0.11255,0.2769,53,49,14,10,52,2
1&(O4W#$UZAE5E2&(,control,3,0.1173,0.31435,14,10,15,10,14,1
1&(O4W#$UZAE5E2&(,deplete,3,0.10505,0.24505,65,60,59,16,63,2
LEJ!0CF$GXCE2&(,control,3,0.1192,0.3155,47,16,14,10,17,1
LEJ!0CF$GXCE2&(,deplete,3,0.116,0.4375,14,49,47,48,52,2
LFL$CS8X#OFE2&(,control,3,0.1326,0.2231,31,31,34,48,49,1
LFL$CS8X#OFE2&(,deplete,3,0.109,0.25665,47,70,63,62,65,2
S7H!LO4!BZFE2&(,control,3,0.1076,0.2116,61,49,50,13,25,2
S7H!LO4!BZFE2&(,deplete,3,0.1104,0.2686,49,66,50,60,50,1
@M@01OFZ2RKE2&(,control,3,0.18015,0.1583,15,20,21,15,22,2
@M@01OFZ2RKE2&(,deplete,3,0.12425,0.19385,66,56,57,64,55,1
S8^IAE@0YSBAEE2&(,control,3,0.15135,0.31135,54,19,16,19,15,2
S8^IAE@0YSBAEE2&(,deplete,3,0.14305,0.283,37,67,56,50,70,1
C1C9#2W7I0EF2&(,control,3,0.1228,0.32525,14,24,10,12,25,2
C1C9#2W7I0EF2&(,deplete,3,0.1106,0.321,10,70,55,10,70,1
MLTC7!JM25&(H2&(,control,3,0.1322,0.2661,11,17,11,11,15,1
MLTC7!JM25&(H2&(,deplete,3,0.11825,0.2766,30,20,13,18,17,2
X&(&(ZM$1JCZEH2&(,control,3,0.10435,0.17405,16,65,69,67,67,1
X&(&(ZM$1JCZEH2&(,deplete,3,0.08755,0.3117,15,56,48,14,67,2
SQT7SIBSLIJH2&(,control,3,0.1301,0.24715,11,11,11,11,11,2
SQT7SIBSLIJH2&(,deplete,3,0.1096,0.24725,16,57,57,56,61,1
F29MBK9^YX!I2&(,control,3,0.12095,0.2689,10,10,10,10,19,1
F29MBK9^YX!I2&(,deplete,3,0.10625,0.2337,48,70,65,61,70,2
2TZY0M^QMRFJ2&(,control,3,0.1129,0.2983,70,12,10,13,13,1
2TZY0M^QMRFJ2&(,deplete,3,0.12575,0.2888,63,44,31,26,35,2
KZRQYM!E$AEYJ2&(,control,3,0.11815,0.18455,44,63,27,45,62,1
KZRQYM!E$AEYJ2&(,deplete,3,0.13485,0.2361,10,60,10,23,10,2
AEFGB&(QR8IOBL2&(,control,3,0.135,0.32375,56,18,23,17,18,2
AEFGB&(QR8IOBL2&(,deplete,3,0.13185,0.30625,42,47,49,47,48,1
8GC5&(KAE@Q0IL2&(,control,3,0.13755,0.2745,10,10,10,10,10,2
8GC5&(KAE@Q0IL2&(,deplete,3,0.1597,0.25275,39,56,10,10,45,1
!M5$0SX0S5WM2&(,control,3,0.1552,0.19325,53,12,13,11,12,2
!M5$0SX0S5WM2&(,deplete,3,0.156,0.18925,55,62,62,33,63,1
FGYMZ^^BFG2!2&(,control,3,0.14695,0.2926,24,12,12,12,16,1
FGYMZ^^BFG2!2&(,deplete,3,0.1445,0.32255,20,53,31,54,64,2
521KQU#!K&(L!2&(,control,3,0.1286,0.29375,28,15,13,12,15,2
521KQU#!K&(L!2&(,deplete,3,0.12225,0.3065,21,56,46,56,55,1
&(M24HBAE7J8#O2&(,control,3,0.1298,0.3119,47,17,16,22,16,1
&(M24HBAE7J8#O2&(,deplete,3,0.11645,0.25225,70,70,70,70,70,2
Y#GKZL0CLI!O2&(,control,3,0.1065,0.37885,44,26,27,40,31,1
Y#GKZL0CLI!O2&(,deplete,3,0.1165,0.3775,50,42,37,19,40,2
CB84$L1^STXO2&(,control,3,0.1053,0.29405,67,10,10,12,12,1
CB84$L1^STXO2&(,deplete,3,0.1122,0.335,36,54,48,44,61,2
CETBXSJRRBHAE2&(,control,3,0.12525,0.3224,68,12,24,12,12,2
